"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"GET","/assets/{id}","Covered","OK","Export-IMAssetThumbnail, Get-IMAsset, Get-IMAssetMemoryLane, Get-IMAssetStatistic, Save-IMAsset","getAssetInfo","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"PUT","/assets/{id}","Covered","OK","Set-IMAsset","updateAsset","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.update` permission.",""
"GET","/assets/{id}/metadata","Missing","N/A","","getAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"PUT","/assets/{id}/metadata","Missing","N/A","","updateAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.update` permission.",""
"DELETE","/assets/{id}/metadata/{key}","Missing","N/A","","deleteAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.update` permission.",""
"GET","/assets/{id}/metadata/{key}","Missing","N/A","","getAssetMetadataByKey","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"GET","/assets/{id}/ocr","Missing","N/A","","getAssetOcr","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"GET","/assets/{id}/original","Covered","OK","Save-IMAsset","downloadAsset","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.download` permission.",""
"PUT","/assets/{id}/original","Deprecated","N/A","","replaceAsset","Assets, Deprecated","Asset","","False","False","False","True",,"This property was deprecated in v1.142.0. Replace the asset with new file, without changing its id. This endpoint requires the `asset.replace` permission.",""
"GET","/assets/{id}/thumbnail","Covered","OK","Export-IMAssetThumbnail","viewAsset","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.view` permission.",""
"GET","/assets/{id}/video/playback","Skipped","N/A","","playAssetVideo","Assets","Asset","","False","False","True","False","Streaming - not applicable for PowerShell","This endpoint requires the `asset.view` permission.",""
"POST","/auth/admin-sign-up","Skipped","N/A","","signUpAdmin","Authentication","Auth","","False","False","True","False","Admin setup - not suitable for interactive use",,""
"POST","/auth/change-password","Skipped","N/A","","changePassword","Authentication","Auth","","False","False","True","False","Interactive web operation","This endpoint requires the `auth.changePassword` permission.",""
"POST","/auth/login","Covered","OK","Connect-Immich","login","Authentication","Auth","","False","True","False","False",,,""
"POST","/auth/logout","Covered","Wrong Folder (Session | Auth)","Disconnect-Immich","logout","Authentication","Auth","Session","True","True","False","False",,,""
"DELETE","/auth/pin-code","Missing","N/A","","resetPinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.delete` permission.",""
"POST","/auth/pin-code","Missing","N/A","","setupPinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.create` permission.",""
"PUT","/auth/pin-code","Missing","N/A","","changePinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.update` permission.",""
"POST","/auth/session/lock","Missing","N/A","","lockAuthSession","Authentication","Auth","","False","False","False","False",,,""
"POST","/auth/session/unlock","Missing","N/A","","unlockAuthSession","Authentication","Auth","","False","False","False","False",,,""
"GET","/auth/status","Missing","N/A","","getAuthStatus","Authentication","Auth","","False","False","False","False",,,""
"POST","/auth/validateToken","Covered","OK","Test-IMAccessToken","validateAccessToken","Authentication","Auth","Auth","False","True","False","False",,,""
"POST","/download/archive","Skipped","N/A","","downloadArchive","Download","Asset","","False","False","True","False","Use Save-IMAsset instead","This endpoint requires the `asset.download` permission.",""
"POST","/download/info","Skipped","N/A","","getDownloadInfo","Download","Asset","","False","False","True","False","Web frontend specific","This endpoint requires the `asset.download` permission.",""
"DELETE","/duplicates","Missing","N/A","","deleteDuplicates","Duplicates","Duplicates","","False","False","False","False",,"This endpoint requires the `duplicate.delete` permission.",""
"GET","/duplicates","Covered","OK","Get-IMDuplicate","getAssetDuplicates","Duplicates","Duplicates","Duplicates","False","True","False","False",,"This endpoint requires the `duplicate.read` permission.",""
"DELETE","/duplicates/{id}","Missing","N/A","","deleteDuplicate","Duplicates","Duplicates","","False","False","False","False",,"This endpoint requires the `duplicate.delete` permission.",""
"GET","/faces","Covered","OK","Get-IMFace","getFaces","Faces","Face","Face","False","True","False","False",,"This endpoint requires the `face.read` permission.",""
"POST","/faces","Missing","N/A","","createFace","Faces","Face","","False","False","False","False",,"This endpoint requires the `face.create` permission.",""
"DELETE","/faces/{id}","Missing","N/A","","deleteFace","Faces","Face","","False","False","False","False",,"This endpoint requires the `face.delete` permission.",""
"PUT","/faces/{id}","Covered","Wrong Folder (Asset | Face)","Set-IMAsset","reassignFacesById","Faces","Face","Asset","True","True","False","False",,"This endpoint requires the `face.update` permission.",""
"GET","/jobs","Covered","OK","Get-IMJob","getAllJobsStatus","Jobs","Job","Job","False","True","False","False",,"This endpoint is an admin-only route, and requires the `job.read` permission.",""
"POST","/jobs","Covered","OK","Start-IMJob","createJob","Jobs","Job","Job","False","True","False","False",,"This endpoint is an admin-only route, and requires the `job.create` permission.",""
"PUT","/jobs/{id}","Covered","OK","Clear-IMJob, Resume-IMJob, Start-IMJob, Suspend-IMJob","sendJobCommand","Jobs","Job","Job","False","True","False","False",,"This endpoint is an admin-only route, and requires the `job.create` permission.",""
"GET","/libraries","Covered","OK","Get-IMLibrary","getAllLibraries","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.read` permission.",""
